,Date,Open,High,Low,Close,Volume
0,2000-01-03,48.03125,48.25,47.03125,47.1875,2173400
1,2000-01-04,46.4375,47.40625,45.3125,45.3125,2713800
2,2000-01-05,45.5625,48.125,45.5625,46.625,3699400
3,2000-01-06,47.15625,51.25,47.15625,50.375,5975800
4,2000-01-07,50.5625,51.90625,49.96875,51.375,4101200
5,2000-01-10,50.21875,51.75,50.0,51.125,3863800
6,2000-01-11,50.375,51.25,50.25,50.25,2357600
7,2000-01-12,50.96875,51.8125,50.375,50.375,2868400
8,2000-01-13,50.65625,50.9375,50.1875,50.375,2244400
9,2000-01-14,50.375,50.46875,49.46875,49.65625,2541800
10,2000-01-18,48.625,49.625,48.5625,48.5625,2114800
11,2000-01-19,48.875,49.96875,48.875,49.40625,2628200
12,2000-01-20,49.53125,49.6875,47.25,47.5625,3104600
13,2000-01-21,47.625,48.28125,47.28125,47.46875,4491800
14,2000-01-24,47.90625,47.90625,45.8125,46.375,2971000
15,2000-01-25,47.4375,47.4375,45.125,45.6875,3691200
16,2000-01-26,47.9375,48.75,47.65625,48.15625,7020800
17,2000-01-27,48.59375,49.15625,48.03125,48.125,2914800
18,2000-01-28,47.875,47.90625,46.125,46.125,3747400
19,2000-01-31,46.125,48.6875,46.03125,46.8125,3282800
20,2000-02-01,47.1875,48.09375,46.875,47.0625,2642200
21,2000-02-02,46.59375,47.0,46.0,46.25,2924200
22,2000-02-03,45.96875,46.0625,45.0,45.84375,3520600
23,2000-02-04,45.96875,46.21875,44.53125,44.53125,3293400
24,2000-02-07,44.625,44.6875,43.3125,43.8125,3935400
25,2000-02-08,43.8125,45.09375,43.71875,43.84375,2884000
26,2000-02-09,44.3125,44.5,43.75,43.8125,2600400
27,2000-02-10,43.625,43.625,42.65625,43.0,4020000
28,2000-02-11,42.6875,43.25,40.65625,41.46875,4491600
29,2000-02-14,41.625,42.375,41.1875,41.4375,3356400
30,2000-02-15,41.875,45.28125,41.75,44.5625,3736000
31,2000-02-16,44.1875,45.1875,43.78125,44.15625,2581800
32,2000-02-17,44.5,45.9375,44.46875,44.8125,3405400
33,2000-02-18,44.9375,45.34375,43.1875,43.78125,2864200
34,2000-02-22,43.875,45.21875,43.25,45.0625,2884600
35,2000-02-23,45.6875,46.96875,45.40625,46.15625,4460800
36,2000-02-24,45.9375,46.0625,44.78125,45.5,3800200
37,2000-02-25,44.0625,44.65625,42.59375,42.875,3627200
38,2000-02-28,43.46875,44.4375,42.5,43.21875,3076600
39,2000-02-29,42.65625,44.59375,42.3125,44.09375,2765400
40,2000-03-01,43.59375,43.875,42.53125,43.0625,2891600
41,2000-03-02,43.0625,43.875,42.84375,43.03125,2186000
42,2000-03-03,43.875,47.3125,43.75,44.75,4581000
43,2000-03-06,44.65625,45.625,43.625,43.625,2052600
44,2000-03-07,44.125,44.4375,41.0,41.375,5195600
45,2000-03-08,41.4375,42.125,40.5,41.28125,4693200
46,2000-03-09,40.40625,40.96875,40.25,40.46875,3258200
47,2000-03-10,40.3125,41.34375,40.1875,40.75,5751600
48,2000-03-13,39.5,40.25,39.375,39.5,3787800
49,2000-03-14,39.59375,40.0,39.28125,39.5625,3156600
50,2000-03-15,39.09375,41.875,39.09375,41.25,4240000
51,2000-03-16,42.375,44.625,41.96875,44.03125,4804800
52,2000-03-17,43.46875,44.59375,42.9375,42.9375,4068200
53,2000-03-20,42.96875,43.90625,42.6875,43.5,2727600
54,2000-03-21,43.40625,45.75,43.28125,45.21875,3827600
55,2000-03-22,44.5,44.6875,42.5,43.0,4404800
56,2000-03-23,42.375,43.625,42.375,43.5,4972000
57,2000-03-24,45.0,46.625,44.84375,45.4375,5925000
58,2000-03-27,45.46875,45.96875,44.0625,44.3125,3254200
59,2000-03-28,44.0,45.28125,43.8125,44.4375,2448000
60,2000-03-29,44.5,44.5,43.6875,43.8125,3280800
61,2000-03-30,44.03125,45.875,43.8125,44.5,3155800
62,2000-03-31,45.1875,46.0,44.28125,44.28125,2459200
63,2000-04-03,44.6875,46.1875,44.625,45.9375,2871400
64,2000-04-04,46.0,47.78125,44.75,46.46875,4841000
65,2000-04-05,46.4375,47.40625,45.53125,45.5625,2875800
66,2000-04-06,45.65625,47.4375,45.65625,46.6875,1756400
67,2000-04-07,46.8125,47.5625,45.8125,45.8125,2501200
68,2000-04-10,45.9375,47.4375,45.875,46.375,2110600
69,2000-04-11,46.375,48.53125,46.375,47.71875,2952200
70,2000-04-12,48.65625,49.15625,47.3125,47.3125,2454600
71,2000-04-13,47.3125,48.1875,45.875,47.375,4152200
72,2000-04-14,47.03125,47.15625,44.15625,45.40625,6141600
73,2000-04-17,44.59375,45.28125,44.03125,44.9375,2893600
74,2000-04-18,45.0625,45.0625,44.0,44.9375,2419200
75,2000-04-19,44.8125,45.9375,44.5625,45.21875,1665200
76,2000-04-20,45.21875,46.15625,45.0,46.125,1983800
77,2000-04-24,45.625,48.8125,45.625,48.6875,3558200
78,2000-04-25,48.0625,48.15625,44.25,46.90625,9044200
79,2000-04-26,46.75,46.75,43.6875,44.46875,6956600
80,2000-04-27,44.25,44.9375,42.65625,43.71875,4835200
81,2000-04-28,43.71875,43.78125,43.0,43.3125,2947000
82,2000-05-01,43.34375,44.28125,42.53125,43.46875,3476400
83,2000-05-02,43.0,43.78125,42.8125,43.46875,2459200
84,2000-05-03,43.46875,44.125,42.65625,42.90625,2445200
85,2000-05-04,43.09375,43.84375,42.375,42.71875,2766200
86,2000-05-05,42.59375,43.625,42.40625,43.34375,2376400
87,2000-05-08,43.875,43.875,42.75,43.65625,1760000
88,2000-05-09,43.5,43.9375,42.75,43.0,1949200
89,2000-05-10,43.125,43.25,42.40625,42.96875,1998400
90,2000-05-11,43.15625,43.4375,42.78125,42.96875,2347400
91,2000-05-12,42.625,43.0,42.25,42.4375,1838400
92,2000-05-15,42.6875,43.46875,42.65625,42.96875,2635000
93,2000-05-16,43.09375,45.65625,42.78125,45.03125,4051400
94,2000-05-17,44.1875,44.5625,43.8125,44.0,2193000
95,2000-05-18,44.09375,44.3125,43.5,43.53125,1599600
96,2000-05-19,43.09375,43.3125,41.875,42.25,2749400
97,2000-05-22,42.375,42.6875,41.6875,42.09375,2568600
98,2000-05-23,42.09375,42.34375,41.625,42.0625,1528400
99,2000-05-24,42.5,44.375,42.5,44.09375,3241000
100,2000-05-25,43.65625,44.125,42.0,42.46875,2512800
101,2000-05-26,42.59375,43.1875,42.0,42.0,1784600
102,2000-05-30,42.3125,43.28125,42.21875,42.5625,1573200
103,2000-05-31,43.0625,43.65625,42.875,42.875,2137000
104,2000-06-01,43.03125,43.03125,42.1875,42.4375,2034000
105,2000-06-02,43.25,43.375,42.0,42.15625,3331600
106,2000-06-05,42.3125,42.53125,42.0625,42.53125,2704600
107,2000-06-06,42.5,42.5,41.03125,41.15625,3139200
108,2000-06-07,41.15625,41.59375,40.75,40.875,3176600
109,2000-06-08,40.96875,41.0,40.21875,40.875,2483200
110,2000-06-09,40.96875,41.09375,40.59375,40.96875,2146200
111,2000-06-12,41.0,41.90625,40.9375,40.984375,2021400
112,2000-06-13,40.8125,41.65625,40.8125,40.9375,2151200
113,2000-06-14,42.0,42.46875,41.75,42.09375,2748600
114,2000-06-15,42.15625,43.6875,42.125,43.21875,4171400
115,2000-06-16,43.21875,43.21875,42.21875,42.21875,3842800
116,2000-06-19,42.4375,42.75,41.46875,41.75,2423400
117,2000-06-20,41.8125,42.5,40.53125,41.09375,2799400
118,2000-06-21,42.25,43.25,42.03125,43.125,3272600
119,2000-06-22,43.15625,43.875,42.46875,43.03125,2798200
120,2000-06-23,42.4375,42.4375,42.03125,42.21875,1579600
121,2000-06-26,42.1875,42.96875,42.15625,42.75,2224800
